maxPutTime,maxPutListTime + ,maxGetTime,maxGetListTime,maxDeleteTime,maxDeleteListTime,putRollingAverage,putListRollingAverage,getRollingAverage,getListRollingAverage,deleteRollingAverage,deleteListRollingAverage,putRollingMax,putListRollingMax,getRollingMax,getListRollingMax,deleteRollingMax,deleteListRollingMax,putPrimary,putFailover,putListPrimary,putListFailover,getPrimary,getFailover,getListPrimary,getListFailover,deletePrimary,deleteFailover,deleteListPrimary,deleteListFailover
114,0,0,0,0,0,114,0,0,0,0,0,114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,8,0,0,0,0,0,29,0,0,0,0,0,93,8,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,8,0,0,0,0,0,28,0,0,0,0,0,189,12,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,8,0,0,0,0,0,35,0,0,0,0,0,285,16,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,6,0,0,0,0,0,28,0,0,0,0,0,385,16,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,8,0,0,0,0,0,28,0,0,0,0,0,477,24,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,8,0,0,0,0,0,74,0,0,0,0,0,570,31,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,670,31,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,9,0,0,0,0,0,127,0,0,0,0,0,760,41,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,8,0,0,0,0,0,29,0,0,0,0,0,852,49,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,7,0,0,0,0,0,103,0,0,0,0,0,949,52,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,6,0,0,0,0,0,35,0,0,0,0,0,1049,52,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,7,0,0,0,0,0,27,0,0,0,0,0,1145,56,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,9,0,0,0,0,0,284,0,0,0,0,0,1242,59,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,19,0,0,0,0,0,160,0,0,0,0,0,1290,111,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,31,0,0,0,0,0,203,0,0,0,0,0,1290,211,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,30,0,0,0,0,0,228,0,0,0,0,0,1290,311,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,29,0,0,0,0,0,279,0,0,0,0,0,1290,411,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,26,0,0,0,0,0,73,0,0,0,0,0,1290,511,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,28,0,0,0,0,0,174,0,0,0,0,0,1290,611,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,27,0,0,0,0,0,152,0,0,0,0,0,1290,711,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,28,0,0,0,0,0,185,0,0,0,0,0,1290,811,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,26,0,0,0,0,0,64,0,0,0,0,0,1290,911,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,30,0,0,0,0,0,332,0,0,0,0,0,1290,1011,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,27,0,0,0,0,0,114,0,0,0,0,0,1290,1111,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,27,0,0,0,0,0,176,0,0,0,0,0,1290,1211,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,25,0,0,0,0,0,38,0,0,0,0,0,1290,1311,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,25,0,0,0,0,0,44,0,0,0,0,0,1290,1411,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,27,0,0,0,0,0,202,0,0,0,0,0,1290,1511,0,0,0,0,0,0,0,0,0,0
